s,s7-8,s3-1,s8-1,s7-3,s1-2,s3-4,s3-5,s3-6,b1-3-4,b1-3-5,b1-3-6,b2-1-3,b2-1-8,b7-3-4,b7-3-5,b7-3-6,t2-1-8-7,t1-8-7-3
-8.15823002525,-0.00676697685823,-0.0342479564742,-0.00326662046954,1.45435900414e-05,-0.00847228192658,-0.000111955709665,-7.27133098622e-05,-0.000113014060441,-0.0224165518193,-0.0509562964649,-0.0224165548331,0.152172762267,0.0050520391928,0.000816477005614,-0.000811225200046,0.000816536406618,1.86742937941e-08,-3.36480223513e-08
-8.12823586275,-0.00709948495223,-0.032926242784,-0.0033760963289,6.74620617892e-06,-0.00880803978984,-0.000118094099625,-7.31804954861e-05,-0.000117150113762,-0.0216658416893,-0.0493389672944,-0.0216659203583,0.150493553717,0.00506420873059,0.000799905065164,-0.000811961827456,0.000799811562422,-6.23553041911e-09,2.70069701454e-08
-8.09824169852,-0.00740239317999,-0.0316171786345,-0.00348880348101,-3.1294455368e-06,-0.0091447515509,-0.000118863258421,-8.27604856171e-05,-0.000119310972337,-0.0209279383631,-0.04776853552,-0.0209278701433,0.1487375783,0.00504592248896,0.000786154277424,-0.000812013890796,0.000786243256439,-2.69615992824e-09,-2.03199561068e-08
-8.0682475326,-0.007670314261,-0.0303229243886,-0.00359533243042,-1.46401998142e-05,-0.00948668987839,-0.000123141700191,-9.35382625355e-05,-0.00012380451358,-0.0202046338622,-0.0462580725364,-0.0202046194186,0.146907112659,0.00499384492134,0.000777321345219,-0.000813258958338,0.000777389389853,-3.11954045954e-09,-1.96979054942e-08
-8.03825336506,-0.00789134651618,-0.029046094871,-0.00370703291247,-2.70352686109e-05,-0.00982854033226,-0.000129399331667,-0.000101528264728,-0.000130557424769,-0.0194998379227,-0.0448209882402,-0.0194997826669,0.14500374858,0.00490623956058,0.000774770543844,-0.000816887604461,0.000774848146033,3.06001738503e-09,-2.19416865326e-08
-8.00825919594,-0.0080565563364,-0.0277864951703,-0.00381691035451,-4.14377311535e-05,-0.0101741296425,-0.000138145686164,-0.000106852515349,-0.000137220451101,-0.0188189902576,-0.0434726689477,-0.0188191007123,0.143032311701,0.00478391467879,0.000779480832174,-0.00082264149721,0.000779353482863,1.31227378177e-08,2.15583809645e-08
-7.9782650253,-0.00815486328924,-0.0265444509814,-0.00392778040832,-5.67724559951e-05,-0.0105185628651,-0.000146268201574,-0.000116273937198,-0.000145709989798,-0.018169062144,-0.0422253305611,-0.0181690125724,0.140996711,0.00462920245563,0.000790741078697,-0.000831018710512,0.000790735453639,-9.62276815981e-09,1.51615115529e-08
-7.94827085318,-0.00815588798325,-0.0253096273309,-0.00405677728484,-7.37723918817e-05,-0.0109741763142,-0.000163861549764,-0.000118846824457,-0.000163398524339,-0.0175482943918,-0.0410693323432,-0.0175483319286,0.138912821745,0.00443989562522,0.000808500314487,-0.000876189659488,0.000808474389247,-2.10384942119e-08,1.97388910015e-08
-7.9182766798,-0.00807175024887,-0.0241399096852,-0.00414906530056,-8.99508654341e-05,-0.0112185944082,-0.000168054639134,-0.000131714762304,-0.000166942772908,-0.0169917285594,-0.0400710354822,-0.0169917446716,0.136798224359,0.00433060705189,0.000828095222944,-0.000850065536155,0.000828003470055,4.81619075525e-09,2.65480149014e-08
-7.88828250492,-0.00788633036491,-0.0229844283373,-0.00425962249438,-0.000107428486042,-0.0115651749452,-0.000179309215576,-0.000140607799484,-0.000178852437779,-0.0164749742462,-0.0391665700351,-0.0164750299158,0.134664374833,0.00420414852592,0.000850563229782,-0.000859384127911,0.000850470338509,5.47611378643e-09,2.16924516503e-08
-7.85828832873,-0.007591792104,-0.0218709780955,-0.00437170471858,-0.00012539373585,-0.011909887485,-0.000188970074009,-0.000150277127688,-0.000190251396952,-0.0160090417237,-0.0383703061388,-0.0160089575583,0.132537512214,0.00413264954881,0.000872986767658,-0.000867431309101,0.000873138570414,1.71809530566e-09,-4.32812850931e-08
-7.82829415131,-0.00718173209241,-0.0208108302387,-0.00448067033258,-0.000144990178279,-0.0122559176,-0.000200934197115,-0.000162955121442,-0.000200388414092,-0.0155919427722,-0.0376744320935,-0.0155919714853,0.130450382452,0.00415062048135,0.000894612996111,-0.000873466741018,0.000894567284648,5.86643305194e-10,1.18706045883e-08
-7.79829997272,-0.00664512446532,-0.0198211722707,-0.00459076801737,-0.000164626399093,-0.0125999116847,-0.000211466192677,-0.000173710771326,-0.000211721824425,-0.0152203591943,-0.0370708037258,-0.0152203413256,0.128443826947,0.00430006824802,0.000915096562293,-0.000877585256604,0.000915126856892,2.81407788032e-09,-9.97485219057e-09
-7.76830579305,-0.00597063473377,-0.0189192313086,-0.00470258097609,-0.000184872742052,-0.0129436701934,-0.000223568692413,-0.000184906651503,-0.000223304002018,-0.014891107591,-0.0365530905795,-0.014891122071,0.126568672781,0.00462673693562,0.00093448608988,-0.000879564246444,0.000934461047232,3.45630196833e-09,4.47216933877e-09
-7.73831161238,-0.00515265080097,-0.0181207834399,-0.00481326425798,-0.000206522988167,-0.0132874723382,-0.000234093167809,-0.00019827980412,-0.00023377981164,-0.0146024790936,-0.036116289609,-0.0146025064278,0.124881515934,0.00517120254373,0.0009522624934,-0.000878606215436,0.000952247653884,-1.05216153778e-08,9.38815228573e-09
-7.70831743083,-0.00419885216737,-0.0174359497917,-0.00492572350996,-0.000228106953298,-0.0136323594631,-0.000246174235329,-0.000213476406149,-0.000246016003981,-0.0143520838905,-0.0357544842232,-0.0143521074685,0.123434953172,0.00595025000399,0.000968354997746,-0.00087533519473,0.000968314055554,1.0172377716e-08,4.36813708753e-09
-7.67832324852,-0.0031425539486,-0.0168608703508,-0.00503922320799,-0.00025086397549,-0.0139768369536,-0.000258198294781,-0.000229359922464,-0.000257848042087,-0.0141379782043,-0.0354605130074,-0.0141379699435,0.122264728412,0.00693915511709,0.000982226406396,-0.000869553084445,0.000982222450913,3.33678907053e-09,-2.20741662822e-10
-7.6483290656,-0.00203584666422,-0.0163782665851,-0.00515025303053,-0.000273971686158,-0.0143236194567,-0.000270599289072,-0.000244447140623,-0.000270975499581,-0.0139559022686,-0.035223397968,-0.0139558985895,0.121380578867,0.00807633818582,0.000994180453865,-0.00086322993274,0.000994177854431,-8.09835676601e-09,8.3264007482e-09
-7.6183348822,-0.000930482717027,-0.0159640634281,-0.0052595644248,-0.000297684706828,-0.014672446909,-0.000283150070213,-0.000262415153518,-0.000283281688064,-0.0138013768437,-0.0350293633683,-0.0138013604021,0.12076773636,0.00929235511672,0.00100374336437,-0.000856831901663,0.00100375584126,9.68038104681e-09,-9.16580202709e-09
-7.58834069846,0.000130748023453,-0.0155951222857,-0.00536632778667,-0.000321983670357,-0.0150241313671,-0.000295344837029,-0.000279983535553,-0.000295135236317,-0.0136681188065,-0.0348624909859,-0.0136681156506,0.120394424307,0.0105256896124,0.00101083292884,-0.000851420732761,0.00101081651696,-1.19490658391e-08,1.52680841871e-08
-7.55834651449,0.00110702394657,-0.0152454485016,-0.00547076994197,-0.000346450074062,-0.0153776815014,-0.000306791463485,-0.00029842980421,-0.000307016572093,-0.0135496014056,-0.034705633086,-0.013549601389,0.120213183951,0.0117117200778,0.00101509386208,-0.000847899754917,0.00101509870886,-1.76803978674e-09,1.15249867657e-10
-7.52835233038,0.00195660451358,-0.0148854180029,-0.0055725629179,-0.000370438880293,-0.0157340523483,-0.000317694985218,-0.000319799649409,-0.000317952936673,-0.0134390202313,-0.0345416807435,-0.0134390264554,0.12016175635,0.0127785094757,0.00101624668632,-0.000846825866201,0.00101625311267,7.2957751336e-09,-7.9681378261e-09
-7.49835814621,0.00264713347957,-0.0144894292241,-0.00566852784434,-0.000394727063909,-0.0160944987587,-0.000328957126232,-0.000338769513419,-0.000328847245623,-0.0133291371054,-0.034353734803,-0.0133291213049,0.120169316535,0.0136648231673,0.00101450923926,-0.000849279495878,0.00101452517021,-6.11153158185e-09,1.00767002633e-09
-7.468363962,0.00316918769897,-0.0140395219122,-0.0057599003946,-0.000419177865552,-0.0164578021335,-0.00033760950574,-0.000361533926725,-0.000337550128959,-0.013213827485,-0.0341265321371,-0.0132138266872,0.120167369999,0.0143422624164,0.00100941037011,-0.000854749003582,0.00100939903053,5.30099761245e-09,4.53401212643e-10
-7.43836977775,0.00353598436141,-0.0135332034855,-0.00584769929495,-0.000442802950965,-0.0168238649748,-0.000347556996172,-0.00038218627478,-0.000347050764296,-0.0130865471594,-0.033846833014,-0.0130865475064,0.120101151036,0.0148198892375,0.00100089730952,-0.000863696279518,0.00100086681486,-2.17747663443e-09,1.20090222808e-08
-7.40837559345,0.00377375015671,-0.0129747216936,-0.0059332457272,-0.000466625566536,-0.0171919948024,-0.000355120261913,-0.000404602040462,-0.000355134062592,-0.0129424857729,-0.0335061067201,-0.0129424932329,0.119934186698,0.0151302877885,0.00098916092991,-0.000874915854634,0.000989155317842,-6.15764840437e-09,5.87467988454e-09
